Competition,Date,Competition,Sport,Event,Stroke,Gender,Rank,Medal,Name,Nation,DoB,Country,Age (days),Time,PhaseName,Distance,Speed,Olympic Year,Olympic Cycle,Pred Formula Speed,Cond Pred Formula Speed,Residuals,Residuals Conditional
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,1,G,Cate Campbell,AUS,20/05/1992,Australia,22-069,52.68,,100,1.898253607,2016,2,1.697019985,1.883477776,0.201233622,0.014775831
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,2,S,Bronte Campbell,AUS,14/05/1994,Australia,20-075,52.86,,100,1.891789633,2016,2,1.697019985,1.853704706,0.194769648,0.038084927
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,3,B,Emma McKeon,AUS,24/05/1994,Australia,20-065,53.61,,100,1.865323634,2016,2,1.697019985,1.836816247,0.168303649,0.028507386
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,4,,Francesca Halsall,ENG,12/4/1990,Great Britain,24-107,53.99,,100,1.852194851,2016,2,1.697019985,1.854877932,0.155174866,-0.002683081
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,5,,Arianna Vanderpool-Wallace,BAH,4/3/1990,Bahamas,24-146,54.37,,100,1.839249586,2016,2,1.697019985,1.836425271,0.142229602,0.002824315
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,6,,Victoria Poon,CAN,12/10/1984,Canada,29-289,55.15,,100,1.813236627,2016,2,1.697019985,1.821387599,0.116216643,-0.008150972
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,6,,Sandrine Mainville,CAN,20/03/1992,Canada,22-130,55.15,,100,1.813236627,2016,2,1.697019985,1.790761785,0.116216643,0.022474842
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,8,,Alyson Ackman,CAN,6/2/1993,Canada,21-172,55.47,,100,1.802776275,2016,2,1.697019985,1.800676743,0.105756291,0.002099532
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,9,,Amy Smith,ENG,24/07/1987,Great Britain,27-004,55.77,,100,1.793078716,2016,2,1.697019985,1.815829409,0.096058732,-0.022750692
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,10,,Erin Gallagher,RSA,18/12/1998,South Africa,15-222,55.86,,100,1.79018976,2016,2,1.697019985,1.75675068,0.093169775,0.03343908
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,11,,Rebecca Turner,ENG,1/8/1992,Great Britain,21-361,55.95,,100,1.787310098,2016,2,1.697019985,1.774475934,0.090290114,0.012834164
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,12,,Samantha Lucie-Smith,NZL,26/07/1992,New Zealand,22-002,56.09,,100,1.782848993,2016,2,1.697019985,1.778692434,0.085829008,0.004156559
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,13,,Hannah McCarthy,GBR,12/9/1993,Great Britain,20-319,56.13,,100,1.781578479,2016,2,1.697019985,1.746026261,0.084558494,0.035552217
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,14,,Trudi Maree,RSA,9/8/1988,South Africa,25-353,56.53,,100,1.768972227,2016,2,1.697019985,1.754685512,0.071952243,0.014286715
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,15,,Ariel Weech,BAH,28/10/1991,Bahamas,22-273,56.58,,100,1.767408978,2016,2,1.697019985,1.766024973,0.070388994,0.001384006
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,16,,Marina Chan,SIN,24/12/1997,Singapore,16-216,57.49,,100,1.739432945,2016,2,1.697019985,1.738605474,0.04241296,0.000827471
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,17,,Lai Kwan Chui,MAS,3/6/1990,Malaysia,24-055,57.6,,100,1.736111111,2016,2,1.697019985,1.715253608,0.039091126,0.020857503
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,18,,Sian Morgan,WAL,5/12/1994,Great Britain,19-235,57.76,,100,1.731301939,2016,2,1.697019985,1.723578038,0.034281954,0.007723901
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,19,,Amanda Lim,SIN,8/1/1993,Singapore,21-201,57.78,,100,1.730702665,2016,2,1.697019985,1.739535357,0.033682681,-0.008832692
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,20,,Ting Wen Quah,SIN,19/08/1992,Singapore,21-343,57.92,,100,1.726519337,2016,2,1.697019985,1.759358747,0.029499352,-0.03283941
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,21,,Mari Davies,GBR,27/03/1998,Great Britain,16-123,58.15,,100,1.719690456,2016,2,1.697019985,1.741405959,0.022670471,-0.021715503
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,22,,Sylvia Brunlehner,KEN,13/02/1994,Kenya,20-165,58.78,,100,1.701258932,2016,2,1.697019985,1.672208856,0.004238947,0.029050076
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,23,,Charlotte Atkinson,IOM,29/11/1996,Great Britain,17-241,58.82,,100,1.700102006,2016,2,1.697019985,1.700042545,0.003082021,5.94607E-05
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,24,,Olivia De Maroussem,MRI,20/06/1994,Mauritius,20-038,58.92,,100,1.697216565,2016,2,1.697019985,1.646874681,0.00019658,0.050341883
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,25,,Caroline Pickering-Puamau,FIJ,1/5/1980,Fiji,34-088,59.04,,100,1.693766938,2016,2,1.697019985,1.701809087,-0.003253047,-0.008042149
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,26,,Bethany Firth,IRL,14/02/1996,Great Britain,18-164,59.24,,100,1.688048616,2016,2,1.697019985,1.688221095,-0.008971369,-0.000172479
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,27,,Courtney Butcher,GUE,14/03/1998,Great Britain,16-136,59.79,,100,1.672520488,2016,2,1.697019985,1.672989371,-0.024499496,-0.000468883
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,28,,Felicity Passon,SEY,11/7/1999,Seychelles,15-017,60.15,,100,1.662510391,2016,2,1.697019985,1.663168905,-0.034509594,-0.000658514
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,29,,Cheyenne Rova,FIJ,23/04/1995,Fiji,19-096,60.41,,100,1.655355074,2016,2,1.697019985,1.604011409,-0.041664911,0.051343665
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,30,,Margarita Pissaridou,CYP,2/6/1997,Cyprus,17-056,60.74,,100,1.646361541,2016,2,1.697019985,1.647323572,-0.050658444,-0.000962031
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,31,,Elinah Phillip,IVB,3/4/2000,British Virgin Islands,14-116,60.84,,100,1.64365549,2016,2,1.697019985,1.644668089,-0.053364495,-0.001012599
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,32,,Jade Ashleigh Howard,ZAM,3/4/1995,Zambia,19-116,61.26,,100,1.632386549,2016,2,1.697019985,1.653315701,-0.064633435,-0.020929152
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,33,,Emily Chan Chee,MRI,11/3/1996,Mauritius,18-139,61.96,,100,1.61394448,2016,2,1.697019985,1.610643162,-0.083075504,0.003301318
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,34,,Danielle Awori,KEN,7/1/1998,Kenya,16-202,62.9,,100,1.589825119,2016,2,1.697019985,1.584586748,-0.107194865,0.005238372
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,35,,Tieri Erasito,FIJ,23/09/1994,Fiji,19-308,63.12,,100,1.584283904,2016,2,1.697019985,1.560265138,-0.112736081,0.024018766
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,36,,Lianna Swan,PAK,25/03/1997,Pakistan,17-125,63.32,,100,1.579279848,2016,2,1.697019985,1.569528252,-0.117740136,0.009751596
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,37,,Christina Linares,GBR,26/12/1999,Gibraltar,14-214,63.5,,100,1.57480315,2016,2,1.697019985,1.577073645,-0.122216835,-0.002270495
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,38,,Ger Ogot,KEN,4/7/1998,Kenya,16-024,64.89,,100,1.541069502,2016,2,1.697019985,1.543935645,-0.155950482,-0.002866143
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,39,,Rachel Wall,ANT,6/10/1998,Antigua and Barbuda,15-295,65.49,,100,1.526950679,2016,2,1.697019985,1.493166963,-0.170069305,0.033783717
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,40,,Irene Prescott,TGA,21/06/1994,Tonga,20-037,65.51,,100,1.526484506,2016,2,1.697019985,1.521290025,-0.170535478,0.005194481
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,41,,Kristie Millar,MAW,29/10/1991,Malawi,22-272,66.03,,100,1.514463123,2016,2,1.697019985,1.517789214,-0.182556862,-0.003326092
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,42,,Shajan Aminath,MDV,29/10/1993,Maldives,20-272,66.6,,100,1.501501502,2016,2,1.697019985,1.403202028,-0.195518483,0.098299474
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,43,,Onika George,GUY,2/1/1998,Guyana,16-207,67.02,,100,1.492091913,2016,2,1.697019985,1.495797892,-0.204928072,-0.003705979
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,44,,Jocelyn Flynn,PNG,28/04/1998,Papua New Guinea,16-091,67.17,,100,1.488759863,2016,2,1.697019985,1.492521882,-0.208260122,-0.003762019
CG,28/07/2014,Commonwealth Games,Swimming,100m,FRS,F,45,,Magdalena Moshi,TAN,30/11/1990,Tanzania,23-240,67.58,,100,1.47972773,2016,2,1.697019985,1.470502522,-0.217292255,0.009225208
RegChJun,10/7/2014,European Junior Championships,Swimming,100m,FRS,F,1,G,Arina Openysheva,RUS,,Russia,,54.78,,100,1.825483753,2016,2,1.697019985,1.822917896,0.128463769,0.002565857
