tripduration,startstationid,endstationid,bikeid
634,164,504,16950
1547,388,459,19816
178,293,237,14548
1580,531,499,16063
757,382,410,19213
861,511,454,16223
550,293,394,16746
288,224,376,16062
766,432,336,17963
773,173,479,19365
456,146,351,16321
632,251,307,18935
623,479,493,16036
228,504,487,16593
643,479,493,19677
1312,474,128,15480
424,477,485,15013
1129,470,450,16017
311,494,458,20595
1275,345,455,16236
318,406,237,19170
1603,521,406,17793
440,422,516,18330
801,173,490,17230
452,519,516,16408
305,151,293,19080
682,494,127,19411
1444,312,312,14842
537,487,439,20330
1456,352,490,15721
614,483,511,19900
517,285,531,18310
1324,225,423,16875
822,483,433,18295
1840,146,495,15165
464,236,445,18195
1143,237,471,18248
1224,357,79,15105
1243,357,79,15211
1067,539,2003,20165
683,382,347,18759
1141,251,368,16278
1225,225,326,14898
191,416,258,20563
305,325,382,19199
779,224,349,16320
1711,265,403,17664
978,385,297,15331
788,403,393,19454
1047,357,79,16708
1622,482,322,17244
528,430,343,19005
1446,161,2004,18859
504,430,343,15301
374,312,266,16844
293,510,493,15317
515,507,470,17222
786,247,403,17261
153,445,394,15003
176,239,270,20125
1041,151,348,20588
509,476,509,15309
207,540,537,15066
997,449,495,16826
515,519,527,15836
606,497,498,19962
786,146,161,17622
521,362,482,19357
749,467,354,16924
373,329,348,19290
1185,306,393,16428
269,504,512,16334
304,357,229,20176
1044,521,2003,20620
116,394,266,15003
113,308,386,15786
469,335,393,18098
1573,380,471,19488
633,334,483,20517
1681,523,513,20555
403,225,482,17104
1263,450,317,20249
2192,309,488,16059
834,497,521,17767
463,533,528,20351
2106,434,458,16935
1939,2008,450,15743
769,362,423,16231
215,428,458,18560
159,224,264,16525
968,396,282,16311
1391,404,518,18076
227,368,489,16204
536,248,229,17782
679,449,478,15742
759,247,146,19512
1113,173,531,16540
1119,237,503,14548
817,167,305,15294
1179,528,401,18922
1215,528,401,17538
884,268,387,18014
1415,265,282,17842
1020,468,448,17243
1526,509,2002,17781
1541,459,2002,19816
908,317,385,18731
66,528,528,15686
1710,387,396,19230
1249,373,443,19155
1265,470,464,17222
833,320,237,15702
736,268,387,15393
714,237,307,17642
643,489,225,17459
850,312,127,16768
186,462,492,19635
677,268,387,15741
486,375,394,19473
1097,157,437,19299
463,402,382,19536
360,442,482,16422
943,116,247,16532
1873,534,396,17416
807,393,412,19454
1000,128,128,15480
184,294,375,20590
899,320,445,18644
291,461,527,20243
406,335,479,16343
1244,536,490,16516
843,523,521,15208
874,523,521,17219
864,2004,507,18724
199,305,305,20134
245,380,404,19931
293,237,268,19495
663,375,316,16120
246,237,433,20522
644,472,3002,19147
251,476,507,19642
509,394,349,17756
513,394,349,16746
472,410,72,17764
588,486,164,15204
520,448,379,17964
466,394,349,15295
1440,2003,2003,18030
1737,305,464,15294
554,317,469,16979
2882,217,387,19220
536,486,469,17631
706,518,495,16165
876,2003,393,20165
909,2003,393,17300
862,290,433,19302
619,335,2003,18882
370,402,335,18597
692,319,472,19603
212,528,507,17201
2625,217,387,16310
908,434,228,16613
702,482,445,17104
1374,507,389,20105
588,2004,472,15969
1393,387,426,15741
1327,336,478,18109
441,462,446,18359
1320,387,426,14939
1850,489,493,15560
185,143,391,20203
1417,225,426,19150
1054,499,297,19273
444,392,311,16847
1346,412,366,19454
27803,229,509,17946
831,428,263,15929
3670,483,83,18582
1895,375,465,17888
150,317,317,15894
1179,167,422,14777
1415,524,79,20241
782,485,385,15013
605,323,354,19004
1079,322,385,15018
58705,483,437,16801
1518,511,508,17593
1932,348,360,17362
746,401,307,19190
854,489,496,18884
997,284,380,16018
875,284,507,16760
1297,428,428,19403
604,410,308,18526
1508,515,347,16598
1667,443,297,19155
914,432,494,19271
340,308,264,19306
330,493,518,19616
128,403,428,18798
1193,410,482,14798
550,512,518,15555
1172,410,482,15770
2010,472,410,15969
1732,472,317,19603
732,224,351,18004
1600,469,195,17097
554,404,404,15883
1599,469,195,17233
293,509,284,19493
1289,521,499,17219
868,515,284,19388
607,268,295,18943
1225,521,499,20030
744,400,380,19265
537,237,497,18144
335,309,320,15855
1057,368,387,16960
1487,348,360,18920
1259,147,388,19995
437,479,493,15318
230,423,508,19239
492,168,512,17493
297,237,475,17741
959,396,396,19230
772,483,540,16418
368,410,459,20147
1723,405,355,14972
424,352,422,17168
650,405,329,16438
1219,478,360,16994
804,483,410,18086
301,469,537,17333
461,497,442,19880
1089,458,280,20595
1108,79,280,18545
1437,439,439,20330
473,324,382,15490
1049,79,280,19096
1071,432,494,19423
1266,450,336,17046
1458,426,116,15741
956,290,385,19748
166,380,223,16928
783,237,311,19170
757,237,311,20054
836,546,326,18387
1162,453,524,17566
677,479,521,19365
49566,401,455,17775
316,540,357,20578
174,366,258,18217
805,540,410,18524
880,161,293,19981
313,479,493,19620
857,161,293,18485
640,480,309,19581
1096,389,83,17041
947,309,416,18003
795,382,307,19199
628,497,499,16810
945,426,427,19150
1496,223,410,16928
729,72,410,17764
937,426,427,17331
591,467,406,15408
623,482,368,19357
855,307,450,19986
1086,160,528,17920
1772,324,290,18455
2386,247,116,15959
709,508,462,19245
807,233,372,18386
1227,518,450,20115
925,377,519,20307
1455,519,332,16676
413,465,173,17888
1443,368,373,19446
659,477,498,15839
1435,317,349,19603
244,405,284,20621
492,508,388,17593
1082,489,438,15032
516,457,318,15876
862,410,349,15969
246,317,410,15768
214,317,410,16109
186,434,462,15324
266,317,326,18531
1240,265,472,16918
926,534,387,19849
229,457,513,16970
1822,439,439,20601
559,428,2003,17943
200,444,334,18848
602,164,325,15204
688,427,351,17662
634,427,351,19150
250,387,316,19220
1096,482,312,14798
602,316,291,15027
1652,379,368,19515
368,435,497,16244
724,450,504,19986
942,368,504,19357
1147,290,385,17310
61,458,151,16577
654,257,438,18808
818,426,426,19450
727,388,419,19995
576,152,426,17459
1310,403,449,17222
155,316,264,19220
594,540,445,15215
1468,387,406,19849
1235,411,301,14952
1568,532,325,15791
1336,493,410,15318
422,334,174,18848
148,448,448,20150
530,229,285,19793
1468,295,83,17234
1407,350,383,17043
153,384,275,14867
767,417,2000,15116
564,466,161,15329
1403,426,351,19450
4690,301,455,15823
304,504,527,19986
470,301,428,19554
807,446,515,17983
1081,499,465,19874
494,368,161,17262
450,368,161,18044
1073,301,284,17007
278,195,415,17518
1200,426,351,17459
1183,426,351,16834
652,318,461,18639
138,352,524,15475
405,524,284,18002
1117,531,531,18021
1791,406,365,17793
376,485,449,16420
383,460,532,20292
545,460,519,18265
1201,301,302,14952
466,128,319,15393
1460,264,369,19963
1459,264,369,16227
1326,422,335,20503
655,533,457,16477
744,406,161,17512
710,406,161,18788
1068,531,468,16540
1180,2002,312,15102
1240,519,301,20307
1555,507,152,16760
386,128,362,17192
810,368,303,19515
914,351,296,16321
1291,511,311,19900
869,351,296,17459
842,351,296,16834
836,79,401,17534
1100,161,247,17262
1013,435,308,18445
2761,500,417,19764
328,284,405,16153
320,284,405,15528
263,440,518,18350
3097,457,446,15784
2048,335,304,17679
527,468,437,16540
1373,432,391,15814
606,242,466,16194
2266,457,446,19707
2578,297,446,16921
342,414,278,17846
396,414,233,18192
846,369,494,16227
251,498,265,15839
464,254,325,18633
799,369,494,19427
867,254,405,19807
956,457,516,16477
335,469,444,16979
342,469,444,17631
93,334,334,18542
930,325,325,17383
1854,457,446,18062
1798,401,327,16895
2241,457,281,19377
646,334,433,18413
480,478,388,20145
317,507,504,19770
388,445,150,14929
462,478,388,17213
387,478,388,18109
521,505,334,14949
660,223,394,16429
328,483,428,20142
729,448,447,17243
1173,173,469,19918
555,532,421,18574
232,423,497,19759
247,453,521,19162
6164,498,498,19962
1295,405,357,19807
4639,379,510,15824
1481,79,147,18971
436,307,386,18314
343,161,320,18788
328,161,236,15329
532,512,444,14828
292,365,364,18624
32285,146,459,15962
32276,146,267,19919
1346,327,514,16895
1082,469,447,19918
1820,459,173,19794
452,465,518,19874
431,445,445,16985
522,489,463,14836
580,294,394,16915
2877,446,457,18062
1147,405,301,18033
2846,446,457,19707
2760,446,457,19648
531,312,247,15102
2743,446,482,14799
570,434,348,16581
791,508,489,20339
2613,325,457,18677
4257,465,498,16165
4616,379,442,15242
288,404,223,17792
512,476,128,17951
1356,296,302,16226
1282,296,302,16321
927,432,253,18620
914,2003,253,15254
1735,447,351,19918
238,173,469,19380
983,326,326,20151
279,349,317,20289
621,324,316,19980
330,404,453,15883
167,253,253,15254
942,168,447,16710
1059,476,168,17904
528,280,379,19876
448,453,515,15883
761,496,2003,18884
465,223,326,19039
690,496,432,20565
270,505,465,16806
1020,434,428,14821
2158,394,394,16429
1530,489,167,19917
549,492,482,19635
2005,394,394,19526
1632,387,467,18923
1594,387,467,18363
1654,439,301,20601
1462,457,325,16527
1807,442,442,19880
369,466,470,18544
1362,457,446,19707
1061,438,505,15032
1448,490,330,15721
1014,296,463,19778
261,305,2004,20325
964,470,426,19533
1452,223,127,17792
558,2003,2003,18884
397,294,72,15150
913,414,417,17264
432,490,500,17230
872,280,72,15859
455,326,293,15830
626,476,303,15247
492,490,478,16650
1329,195,472,19363
446,457,2022,18580
465,168,493,16736
261,512,434,18127
223,470,521,18544
4958,512,281,15430
4949,512,281,15735
856,128,465,17990
445,127,329,18376
574,482,242,19635
1803,398,282,15229
413,311,268,15451
392,403,350,15460
801,477,305,18168
642,487,406,19256
1347,464,307,15294
668,127,147,17792
1092,482,327,14951
1181,360,284,14860
1111,448,128,17748
598,524,457,18377
420,450,267,15743
989,394,167,16522
713,446,329,19792
585,161,2004,17512
13452,355,490,14972
2054,450,475,15030
2724,444,233,19690
2721,444,233,19751
1027,546,276,14900
706,449,2006,17563
939,281,529,18767
1589,467,250,17600
272,521,448,16546
155,449,500,17222
358,168,444,15951
104,507,461,17201
690,128,152,14675
838,507,412,15220
240,290,522,15512
446,499,367,19735
2644,332,332,18714
681,290,461,19502
430,492,517,20307
322,376,309,20184
1108,128,360,17325
383,307,341,18891
779,72,388,15150
757,466,520,16194
250,482,509,18643
177,329,79,18376
758,477,546,15228
352,461,167,17201
196,540,444,16067
1072,351,265,18004
1044,454,477,15497
489,2004,228,18859
789,369,309,20195
867,529,328,15799
473,251,247,20611
292,290,440,18849
452,261,271,17378
368,415,417,14832
309,368,303,17972
477,527,485,17128
1236,496,499,20075
669,325,516,15791
532,379,475,19876
331,306,259,15439
354,382,435,18158
261,285,229,18043
3179,509,512,19239
371,475,290,17966
1214,412,412,15220
574,521,352,17767
1278,261,379,19767
538,476,465,16241
977,509,497,18366
1929,499,312,15092
448,529,513,18767
3420,345,223,18580
770,476,173,15422
688,519,319,17516
213,485,401,19798
260,369,229,19963
594,520,456,19296
615,293,507,19080
360,385,520,16900
417,168,161,15123
813,477,305,18465
347,449,520,16420
1421,276,525,19057
1800,517,306,16783
215,173,510,19136
441,242,521,19635
904,459,329,20147
628,301,357,18033
482,334,521,14949
731,330,334,15121
895,439,2008,18153
1158,308,526,18642
729,72,520,18158
354,450,538,19969
333,2009,387,19214
940,326,167,17860
792,247,318,20611
826,546,345,16560
1941,318,195,14837
207,406,233,15408
180,391,233,18596
86,519,519,17270
1239,516,223,16477
70,334,334,18542
172,486,504,17603
258,471,359,18738
927,229,493,16825
214,416,300,17193
249,318,456,15079
566,518,448,17555
730,394,537,19180
1038,334,363,15435
403,521,507,18544
391,168,294,15328
527,519,464,19343
303,465,510,16241
809,461,456,18639
327,319,329,18285
1149,545,456,14839
495,271,2000,18647
2618,290,360,18591
925,279,311,16829
593,485,281,17128
997,436,467,16199
1904,294,375,20281
305,385,440,18143
250,271,390,16370
464,477,522,15497
1118,488,497,15502
394,301,323,16155
1449,120,330,17524
427,238,516,18394
243,320,417,17526
347,433,285,20579
1175,216,216,19596
534,448,484,14733
1787,304,478,19589
490,477,167,18721
779,483,517,16469
856,412,507,15220
1697,356,284,16903
745,325,367,18633
245,249,478,19081
562,263,417,15895
1310,347,457,18759
1114,405,519,17225
616,153,290,16620
493,317,253,15894
855,477,305,19888
779,477,536,15843
424,476,507,17495
727,445,348,18644
730,143,387,19131
581,508,318,19118
163,195,316,17097
149,241,300,20309
901,540,417,17525
339,336,469,17022
517,301,375,18540
1118,291,527,15044
696,482,426,18417
790,349,537,17151
2271,499,236,17205
681,238,327,19632
387,477,510,15865
803,490,456,15573
168,458,311,18560
319,324,212,17141
527,318,468,16043
739,494,509,15621
377,237,411,19479
743,523,522,15437
179,276,309,14900
837,525,225,18894
398,490,463,18705
579,492,318,16242
519,492,510,19836
1333,309,324,18289
309,237,411,16475
1128,2003,305,16057
328,477,524,19691
779,310,313,17576
372,517,382,20307
931,2003,524,15396
640,433,466,20519
2041,507,195,19642
1745,461,417,18800
265,2008,387,18153
1132,521,347,19365
338,362,466,19333
1540,305,330,18168
1145,492,426,15187
909,327,482,15462
505,477,167,17458
557,528,402,18941
387,422,500,17168
299,161,324,15123
291,477,173,19313
270,327,319,18557
2236,195,195,17773
1340,488,392,17656
183,495,486,16038
448,224,445,18863
179,483,362,17651
1915,365,347,17793
507,492,359,19018
433,497,422,17177
291,509,466,17923
1747,127,510,18349
600,511,285,19597
152,127,346,17090
1943,2008,345,19243
504,362,475,18157
480,450,318,16017
517,477,318,18572
689,545,417,17425
178,459,504,14956
616,490,508,14563
546,237,324,17313
326,335,348,17978
129,521,490,19162
347,385,527,18731
337,233,157,18014
587,505,516,15390
582,477,529,18622
505,477,510,15525
606,346,147,17090
1583,531,477,19553
746,342,417,18657
907,477,455,18234
336,486,510,16038
944,477,293,16105
1198,477,516,15629
555,447,490,17063
683,523,497,17456
299,285,439,19793
1836,417,305,19583
589,361,301,15154
366,363,363,15808
558,325,510,15204
767,456,468,17386
411,442,2022,17232
566,345,505,16560
544,396,241,19230
442,2004,347,20325
351,387,329,18153
473,82,151,16115
1896,426,426,19739
1267,387,495,16960
226,161,357,19702
420,430,2001,14574
422,352,516,15529
753,433,486,19501
635,492,536,17734
225,116,459,19386
605,468,267,19686
799,509,450,19549
992,290,439,16620
1335,285,468,19245
997,513,2021,18767
305,368,229,16964
490,476,510,15891
1539,469,469,17022
148,522,426,20078
395,492,484,19654
660,521,457,17191
1348,322,327,19265
121,143,314,19498
1714,160,453,17054
2392,440,164,18849
132,533,498,20297
390,318,173,18906
1101,499,351,17432
859,225,276,16831
2349,440,164,15062
544,363,329,17994
385,477,318,19993
346,384,271,17986
399,465,327,17785
580,490,457,15506
461,490,478,20070
742,488,300,18101
527,519,475,19338
752,386,360,19846
292,367,510,18633
380,492,493,18898
390,477,519,16734
1106,422,347,20232
269,469,285,19380
1676,519,415,19714
1246,475,327,16126
1846,450,304,16117
1115,380,450,16018
522,422,484,19307
1102,362,520,17192
7572,295,522,16957
148,435,518,20264
311,513,500,20555
590,487,435,15576
655,490,508,18565
759,462,293,16108
566,433,497,18295
851,422,318,17142
569,545,496,15766
165,450,173,17091
344,152,499,15020
250,449,510,20240
256,492,526,15230
550,404,328,16799
1363,385,291,16549
537,450,280,17172
833,349,224,15295
740,471,311,19012
766,505,281,20279
1427,545,329,16495
748,518,510,16773
764,318,457,18572
673,492,517,18174
978,437,391,19575
711,379,293,15952
1086,504,153,14956
502,326,403,18269
545,326,403,20151
368,476,485,14858
536,498,367,19460
669,488,459,20137
743,521,260,19635
1029,405,500,15528
1200,285,329,18634
1292,284,360,17007
356,415,417,16684
625,462,174,15324
946,363,212,15181
1414,406,363,19849
875,468,455,19685
526,505,440,16637
1459,2003,174,18847
137,241,300,19230
180,263,151,15051
384,363,329,15435
719,2003,458,16593
247,327,329,19632
1335,387,147,19214
475,380,442,19753
1203,395,309,17973
242,401,485,17451
1674,483,434,18480
625,488,167,19774
1932,279,521,15539
324,212,79,19421
614,465,167,16806
2338,279,173,17721
451,327,257,15534
337,363,319,19727
939,487,524,15352
264,465,517,17990
617,487,410,16821
342,423,520,16875
678,228,525,16148
347,458,492,16935
346,270,459,15611
857,528,2004,17574
1096,327,482,20582
818,394,442,15106
929,433,454,19302
508,161,285,16336
274,363,260,15850
674,348,264,16697
621,2003,440,18011
308,504,507,17603
467,326,326,16754
727,306,329,15574
648,490,359,17323
211,512,521,19239
517,423,484,15994
266,488,525,16059
382,474,524,19420
