Round,Winning Team,1Q Points W,2Q Points W,3Q Points W,4Q Points W,Total Score W,Winning Margin,Round,Losing Team,1Q Points L,2Q Points L,3Q Points L,4Q Points L,Total Score L,Losing Margin,Lead 1Q W,Lead 2Q W,Lead 3Q W,Lead 4Q W
1,Richmond,45,38,18,31,132,43,1,Carlton,27,19,30,13,89,-43,18,37,25,43
1,Bulldogs,31,24,35,10,100,14,1,Collingwood,11,40,14,21,86,-14,20,4,25,14
1,Melbourne,15,43,39,23,120,30,1,St Kilda,38,12,13,27,90,-30,-23,8,34,30
1,Port Adelaide,26,31,31,22,110,28,1,Sydney,27,26,13,16,82,-28,-1,4,22,28
1,Essendon,28,10,46,32,116,25,1,Hawthorn,15,31,28,17,91,-25,13,-8,10,25
1,Brisbane,45,24,20,9,98,2,1,Gold Coast,14,9,49,24,96,-2,31,46,17,2
1,West Coast,21,41,42,32,136,43,1,North Melbourne,30,26,20,17,93,-43,-9,6,28,43
1,Adelaide,15,36,53,43,147,56,1,GWS,29,14,30,18,91,-56,-14,8,31,56
1,Geelong,31,38,20,26,115,42,1,Fremantle,14,16,15,28,73,-42,17,39,44,42
2,Richmond,16,7,39,37,99,19,2,Collingwood,16,17,22,25,80,-19,0,-10,7,19
2,Bulldogs,18,31,34,27,110,23,2,Sydney,25,16,20,26,87,-23,-7,8,22,23
2,Adelaide,14,24,42,33,113,24,2,Hawthorn,38,13,25,13,89,-24,-24,-13,4,24
2,GWS,46,22,40,52,160,102,2,Gold Coast,8,26,16,8,58,-102,38,34,58,102
2,Essendon,26,39,15,31,111,27,2,Brisbane,20,16,39,9,84,-27,6,29,5,27
2,West Coast,24,27,32,33,116,19,2,St Kilda,43,17,29,8,97,-19,-19,-9,-6,19
2,Geelong,13,35,31,33,112,1,2,North Melbourne,38,16,50,7,111,-1,-25,-6,-25,1
2,Melbourne,20,20,7,39,86,22,2,Carlton,14,16,20,14,64,-22,6,10,-3,22
2,Port Adelaide,45,29,43,28,145,89,2,Fremantle,13,8,25,10,56,-89,32,53,71,89
3,Collingwood,28,18,16,18,80,1,3,Sydney,7,30,16,26,79,-1,21,9,9,1
3,GWS,22,25,22,40,109,42,3,North Melbourne,20,14,20,13,67,-42,2,13,15,42
3,Richmond,14,22,26,14,76,11,2,West Coast,18,25,13,9,65,-11,-4,-7,6,11
3,Geelong,32,24,30,40,126,29,3,Melbourne,16,37,36,8,97,-29,16,3,-3,29
3,Adelaide,21,30,25,24,100,17,3,Port Adelaide,30,12,20,21,83,-17,-9,9,14,17
3,Fremantle,28,15,15,31,89,16,3,Bulldogs,9,27,36,1,73,-16,19,7,-14,16
3,St Kilda,28,24,18,37,107,31,3,Brisbane,8,26,28,14,76,-31,20,18,8,31
3,Carlton,11,17,16,13,57,15,3,Essendon,19,8,13,2,42,-15,-8,1,4,15
3,Gold Coast,21,29,62,27,139,86,3,Hawthorn,15,9,22,7,53,-86,6,26,66,86
4,West Coast,14,25,25,27,91,26,4,Sydney,14,13,19,19,65,-26,0,12,18,26
4,Bulldogs,14,6,37,32,89,3,4,North Melbourne,16,15,28,27,86,-3,-2,-11,-2,3
