Position,Time Elapsed by Quarter,Player Game Time,Game Time (%),Period Name,Distance/m,Meters / min,Max Velocity,Player Load,Player Load / min,Player Load / metre,Vel Zone 1 Dist,Vel Zone 2 Dist,Vel Zone 3 Dist,Vel Zone 4 Dist,High Intensity Running %,High Intensity Accels,High Intensity Decels,Vel Zone 5 Dist,Vel Zone 6 Dist,Vel Zone 1 Dist %,Vel Zone 2 Dist %,Vel Zone 3 Dist %,Vel Zone 4 Dist %,Vel Zone 5 Dist %,Vel Zone 6 Dist %,Vel Zone 1 Time,Vel Zone 2 Time,Vel Zone 3 Time,Vel Zone 4 Time,Vel Zone 5 Time,Vel Zone 6 Time,Vel Zone 1 Time %,Vel Zone 2 Time %,Vel Zone 3 Time %,Vel Zone 4 Time %,Vel Zone 5 Time %,Vel Zone 6 Time %,Vel Zone 2 Efforts,Vel Zone 3 Efforts,Vel Zone 4 Efforts,Vel Zone 5 Efforts,Vel Zone 6 Efforts,Vel Zone 2 Avg Effort Dist,Vel Zone 3 Avg Effort Dist,Vel Zone 4 Avg Effort Dist,Vel Zone 5 Avg Effort Dist,Vel Zone 6 Avg Effort Dist,Vel Zone 2 Avg Effort Time,Vel Zone 3 Avg Effort Time,Vel Zone 4 Avg Effort Time,Vel Zone 5 Avg Effort Time,Vel Zone 6 Avg Effort Time,Vel Zone 2 Min Effort Dist,Vel Zone 3 Min Effort Dist,Vel Zone 4 Min Effort Dist,Vel Zone 5 Min Effort Dist,Vel Zone 6 Min Effort Dist,Vel Zone 2 Min Effort Time,Vel Zone 3 Min Effort Time,Vel Zone 4 Min Effort Time,Vel Zone 5 Min Effort Time,Vel Zone 6 Min Effort Time,Vel Zone 2 Max Effort Dist,Vel Zone 3 Max Effort Dist,Vel Zone 4 Max Effort Dist,Vel Zone 5 Max Effort Dist,Vel Zone 6 Max Effort Dist,Vel Zone 2 Max Effort Time,Vel Zone 3 Max Effort Time,Vel Zone 4 Max Effort Time,Vel Zone 5 Max Effort Time,Vel Zone 6 Max Effort Time,Vel Zone 2 Efforts 0-5m,Vel Zone 3 Efforts 0-5m,Vel Zone 4 Efforts 0-5m,Vel Zone 2 Efforts 5-10m,Vel Zone 3 Efforts 5-10m,Vel Zone 4 Efforts 5-10m,Vel Zone 5 Efforts 5-10m,Vel Zone 6 Efforts 5-10m,Vel Zone 2 Efforts 10-40m,Vel Zone 3 Efforts 10-40m,Vel Zone 4 Efforts 10-40m,Vel Zone 5 Efforts 10-40m,Vel Zone 6 Efforts 10-40m,Vel Zone 2 Efforts 40m+,Vel Zone 3 Efforts 40m+,Vel Zone 4 Efforts 40m+,Vel Zone 5 Efforts 40m+,Vel Zone 6 Efforts 40m+,Acc. Zone 1 Efforts,Acc. Zone 2 Efforts,Acc. Zone 3 Efforts,Acc. Zone 4 Efforts,Acc. Zone 5 Efforts,Acc. Zone 6 Efforts,Acc. Zone 7 Efforts,Acc. Zone 8 Efforts,Acc. Zone 1 Dist,Acc. Zone 2 Dist,Acc. Zone 3 Dist,Acc. Zone 4 Dist,Acc. Zone 5 Dist,Acc. Zone 6 Dist,Acc. Zone 7 Dist,Acc. Zone 8 Dist,Acc. Zone 1 Dist %,Acc. Zone 2 Dist %,Acc. Zone 3 Dist %,Acc. Zone 4 Dist %,Acc. Zone 5 Dist %,Acc. Zone 6 Dist %,Acc. Zone 7 Dist %,Acc. Zone 8 Dist %,Acc. Zone 1 Time,Acc. Zone 2 Time,Acc. Zone 3 Time,Acc. Zone 4 Time,Acc. Zone 5 Time,Acc. Zone 6 Time,Acc. Zone 7 Time,Acc. Zone 8 Time,Acc. Zone 1 Time %,Acc. Zone 2 Time %,Acc. Zone 3 Time %,Acc. Zone 4 Time %,Acc. Zone 5 Time %,Acc. Zone 6 Time %,Acc. Zone 7 Time %,Acc. Zone 8 Time %,P.L. Zone 1,P.L. Zone 2,P.L. Zone 3,P.L. Zone 4,Peak Meta. Power (W/kg),Meta. Energy (KJ/kg),Meta. Energy (Cal/kg),Estimated Dist,EDI,Meta. Power Zone 1 Time,Meta. Power Zone 2 Time,Meta. Power Zone 3 Time,Meta. Power Zone 4 Time,Meta. Power Zone 5 Time,Meta. Power Zone 1 Time %,Meta. Power Zone 2 Time %,Meta. Power Zone 3 Time %,Meta. Power Zone 4 Time %,Meta. Power Zone 5 Time %,Meta. Power Zone 2 Efforts,Meta. Power Zone 3 Efforts,Meta. Power Zone 4 Efforts,Meta. Power Zone 5 Efforts,Meta. Power Zone 1 Avg Power,Meta. Power Zone 2 Avg Power,Meta. Power Zone 3 Avg Power,Meta. Power Zone 4 Avg Power,Meta. Power Zone 5 Avg Power,IMA Accel Low,IMA Accel Med,IMA Accel High,IMA Decel Low,IMA Decel Med,IMA Decel High,IMA CoD Left Low,IMA CoD Left Med,IMA CoD Left High,IMA CoD Right Low,IMA CoD Right Med,IMA CoD Right High,IMA Free Running Total Event Count,HS Distance ,Intense Deccels,Intense Accels,IMA Low CoD,IMA Med CoD,IMA High CoD ,IMA High CoD/min,mins,mins(coverted),IMA CoD Total ,IMA Low CoD L %,IMA Low CoD R %,IMA Med CoD L %,IMA Med CoD R %,IMA High CoD L %,IMA High CoD R %,% High CoD Movements ,IMA Accels,IMA Deccels,IMA % Low Accels,IMA % Med Accels,IMA % Max Accels,IMA % Low Deccels,IMA % Med Deccels,IMA % Max Deccels,Distance Z3 to Z6,Distance Z4 to Z6,Sprints
DEF,31.48,30.03,95.40,Qtr 1,3326.00,110.7,8.4,356.06,11.855,0.107,696,662,778,861,9.9,122,100,285,44,20.9,19.9,23.4,25.9,8.6,1.3,0:16:11,0:05:52,0:03:48,0:03:13,0:00:50,0:00:06,53,19,12,10,2,0,125,48,49,21,3,5.7,16.1,18.0,14.3,15.7,2.8,4.6,3.9,2.4,2.0,1.5,3.1,4.0,5.5,7.2,1.0,1.0,1.0,1.0,1.0,38.1,85.1,86.1,42.9,23.6,15.0,24.0,19.0,7.0,3.0,75,11,17,33,9,7,9,1,17,24,21,11,2,0,4,4,1,0,100,49,130,266,329,128,66,122,171,107,435,817,862,391,172,459,5,3,13,24,25,11,5,13,0:01:58,0:00:51,0:02:38,0:06:45,0:11:40,0:02:28,0:01:06,0:02:30,6,2,8,22,38,8,3,8,355.91,0.15,0.00,0.00,328.6,17.38,4.15,4530,1.36,0:16:41,0:06:47,0:02:23,0:00:25,0:00:14,55,22,7,1,0,214,50,4,0,4.73,14.84,24.58,42.70,72.99,20,5,3,36,6,7,94,8,5,69,6,4,128,329,279,316,163,14,9,0.29,0.02,31.33,186.00,57.67,42.33,57,43,56,1392,5,28,49,71,18,11,73,12,14,1968,1190,24
MID,31.48,21.33,67.77,Qtr 1,3076.00,144.2,8.3,308.10,14.442,0.100,339,741,740,755,16.3,0,0,375,126,11.0,24.1,24.1,24.5,12.2,4.1,0:07:53,0:05:52,0:03:33,0:02:43,0:01:00,0:00:16,37,27,16,12,4,1,53,36,35,15,4,12.9,19.9,20.8,24.2,31.5,6.1,5.7,4.5,4.0,4.1,1.5,3.6,4.7,6.8,20.3,1.0,1.0,1.0,1.2,2.7,51.9,68.9,67.8,60.0,55.2,26.0,19.9,13.3,9.5,7.4,15,3,1,13,7,11,3,0,23,23,18,9,3,2,3,5,3,1,0,0,1,259,386,1,0,0,6,5,53,1188,1717,66,6,7,0,0,1,38,55,2,0,0,0:00:02,0:00:01,0:00:18,0:07:31,0:12:57,0:00:22,0:00:02,0:00:03,0,0,1,35,60,1,0,0,305.76,1.05,0.57,0.72,135.5,14.75,3.53,3959,1.29,0:11:03,0:05:41,0:02:41,0:00:39,0:00:07,51,26,12,3,0,102,55,19,3,5.03,14.78,25.62,42.38,67.21,22,7,0,11,7,5,55,1,1,53,1,5,163,501,1,1,108,2,6,0.19,0.02,31.33,116.00,50.93,49.07,50,50,17,2611,5,29,23,76,24,0,48,30,22,1996,1256,19
DEF,31.48,30.82,97.89,Qtr 1,3836.00,124.5,8.3,365.53,11.862,0.095,603,1047,779,982,11.1,129,116,368,57,15.7,27.3,20.3,25.6,9.6,1.5,0:13:15,0:08:49,0:03:51,0:03:40,0:01:04,0:00:08,42,28,12,11,3,0,132,53,53,24,3,8.2,15.3,19.3,16.0,19.9,4.0,4.4,4.2,2.7,2.7,1.5,3.1,4.0,5.5,7.1,1.0,1.0,1.0,1.0,1.0,49.6,62.2,80.8,69.4,38.4,22.0,18.0,17.0,12.0,5.0,58,13,9,35,10,12,9,1,38,27,27,14,2,1,3,5,1,0,116,60,145,284,340,150,65,129,246,131,425,946,1020,498,153,544,6,3,11,24,26,12,4,14,0:02:21,0:01:04,0:02:50,0:07:33,0:10:17,0:02:56,0:01:11,0:02:35,7,3,9,24,33,9,3,8,363.86,1.67,0.00,0.00,288.7,20.40,4.87,5345,1.39,0:17:25,0:07:41,0:03:03,0:00:29,0:00:18,56,24,9,1,0,234,64,1,0,5.13,14.61,24.56,42.90,72.18,32,5,2,34,7,1,72,9,4,91,12,4,217,425,321,344,163,21,8,0.26,0.02,31.33,192.00,44.17,55.83,43,57,50,1567,4,39,42,82,13,5,81,17,2,2186,1407,27
MID,31.48,26.63,84.60,Qtr 1,3795.00,142.5,8.2,381.00,14.306,0.100,520,895,720,956,18.6,0,0,591,113,13.7,23.6,19.0,25.2,15.6,3.0,0:11:09,0:06:52,0:03:24,0:03:20,0:01:36,0:00:14,41,25,12,12,6,0,75,46,41,20,4,11.6,15.0,22.5,25.6,27.9,5.3,4.3,4.8,4.2,3.6,1.5,3.6,4.1,9.1,7.1,1.0,1.1,1.0,1.4,1.0,40.9,36.5,76.0,57.6,64.3,21.7,11.1,15.9,10.0,8.3,20,2,1,23,13,12,3,1,30,31,23,13,2,2,0,5,4,1,0,0,1,345,536,1,0,0,5,6,73,1368,2173,87,7,13,0,0,1,36,57,2,0,0,0:00:02,0:00:02,0:00:25,0:09:06,0:16:21,0:00:29,0:00:03,0:00:06,0,0,1,34,61,1,0,0,379.05,1.18,0.77,0.00,135.0,18.06,4.32,4854,1.28,0:14:41,0:06:18,0:03:39,0:00:46,0:00:10,55,23,13,2,0,120,55,23,4,4.71,14.48,25.76,41.84,68.16,25,6,3,18,7,7,97,6,5,51,2,2,138,704,1,1,148,8,7,0.22,0.02,31.33,163.00,65.54,34.46,75,25,71,895,4,34,32,74,18,9,56,22,22,2380,1660,24
DEF,31.48,27.78,88.26,Qtr 1,3596.00,129.4,8.2,364.11,13.105,0.101,709,950,694,726,14.4,0,0,420,97,19.7,26.4,19.3,20.2,11.7,2.7,0:12:53,0:07:39,0:03:18,0:02:34,0:01:07,0:00:13,46,27,11,9,4,0,84,36,37,17,5,10.7,18.5,19.1,24.0,19.4,5.2,5.4,4.1,4.0,2.6,1.5,4.1,4.1,9.8,9.9,1.0,1.3,1.0,1.7,1.4,54.3,55.6,63.2,49.9,29.9,24.8,16.1,13.0,8.3,4.1,34,4,5,22,10,11,2,1,24,18,16,13,4,4,4,5,2,0,0,0,2,366,557,1,0,0,6,7,59,1314,2055,78,6,5,0,0,1,36,57,2,0,0,0:00:02,0:00:03,0:00:20,0:10:00,0:16:49,0:00:26,0:00:02,0:00:02,0,0,1,36,60,1,0,0,362.70,1.41,0.00,0.00,153.7,16.97,4.06,4550,1.27,0:17:53,0:05:48,0:02:46,0:00:37,0:00:09,64,20,10,2,0,119,52,19,4,5.04,14.30,25.54,41.99,69.10,28,6,5,29,2,3,80,4,5,78,8,2,159,517,2,1,158,12,7,0.22,0.02,31.33,177.00,50.63,49.37,33,67,71,895,4,39,34,72,15,13,85,6,9,1937,1243,22
FWD,31.48,31.48,100.01,Qtr 1,4021.00,127.7,8.2,328.58,10.437,0.082,815,1176,665,813,13.7,0,0,411,141,20.3,29.2,16.5,20.2,10.2,3.5,0:14:57,0:09:03,0:03:11,0:02:53,0:01:05,0:00:18,47,28,10,9,3,0,98,48,41,17,4,11.6,13.4,19.4,23.7,35.1,5.4,3.9,4.2,3.9,4.6,1.6,3.6,4.5,6.9,22.6,1.0,1.0,1.1,1.2,3.0,82.4,44.8,73.1,50.8,60.0,33.3,13.7,16.7,8.0,7.9,28,8,1,27,16,10,3,0,41,22,26,12,3,2,2,4,2,1,0,0,1,401,606,4,0,0,5,4,44,1594,2211,80,10,8,0,0,1,39,55,2,0,0,0:00:02,0:00:01,0:00:16,0:12:07,0:18:17,0:00:31,0:00:06,0:00:05,0,0,0,38,58,1,0,0,327.71,0.88,0.00,0.00,129.7,18.77,4.49,4947,1.23,0:19:43,0:07:24,0:02:38,0:00:41,0:00:09,62,23,8,2,0,129,46,22,5,5.02,14.16,25.77,42.29,65.96,14,3,3,27,5,1,55,5,3,49,6,3,197,552,1,4,104,11,6,0.19,0.02,31.33,121.00,52.88,47.12,45,55,50,1567,5,20,33,70,15,15,82,15,3,2030,1365,21
FWD,31.48,27.70,87.99,Qtr 1,3049.00,110.1,8.0,260.55,9.406,0.085,732,995,644,380,9.8,0,0,255,43,24.0,32.6,21.1,12.5,8.4,1.4,0:14:03,0:08:05,0:03:06,0:01:18,0:00:41,0:00:05,50,29,11,4,2,0,80,37,24,12,2,12.0,17.2,15.2,20.2,21.3,5.9,5.0,3.2,3.3,2.8,1.6,3.4,4.1,5.5,10.8,1.0,1.0,1.0,1.0,1.5,51.8,61.7,42.3,79.5,31.8,28.6,17.9,8.5,12.5,4.1,26,4,3,20,9,7,5,0,32,21,13,6,2,2,3,1,1,0,0,0,1,329,578,2,0,0,7,6,45,1077,1746,60,10,7,0,0,1,35,57,1,0,0,0:00:02,0:00:02,0:00:16,0:09:03,0:17:22,0:00:25,0:00:05,0:00:02,0,0,0,32,62,1,0,0,260.55,0.00,0.00,0.00,178.1,14.25,3.41,3781,1.24,0:19:29,0:05:03,0:01:41,0:00:23,0:00:08,70,18,6,1,0,110,43,11,2,4.90,13.99,25.56,42.10,68.74,22,9,2,25,8,1,83,14,11,105,8,3,112,298,1,2,188,22,14,0.45,0.02,31.33,224.00,44.15,55.85,64,36,79,671,6,33,34,67,27,6,74,24,3,1322,678,14
MID,31.48,20.80,66.07,Qtr 1,2791.00,134.2,7.9,344.73,16.574,0.124,250,794,648,667,15.5,82,69,388,44,9.0,28.4,23.2,23.9,13.9,1.6,0:07:25,0:06:19,0:03:16,0:02:32,0:01:06,0:00:06,35,30,15,12,5,0,65,42,33,15,1,12.6,15.5,19.8,26.4,44.9,5.8,4.4,4.3,4.4,6.0,1.5,3.1,4.1,5.6,44.9,1.0,1.0,1.0,1.0,6.0,50.6,94.5,77.2,63.8,44.9,25.0,26.0,17.0,10.0,6.0,21,12,6,16,9,5,3,0,26,18,19,8,0,2,3,3,4,1,69,44,105,200,209,90,50,82,154,65,314,807,730,344,127,352,5,2,11,28,26,12,4,12,0:01:17,0:00:46,0:02:04,0:04:53,0:07:24,0:01:45,0:00:51,0:01:43,6,3,9,23,35,8,4,8,343.63,1.12,0.00,0.00,264.2,14.92,3.57,3840,1.38,0:10:02,0:06:23,0:02:24,0:00:22,0:00:14,48,30,11,1,1,190,37,1,0,4.77,14.49,24.92,43.29,71.90,14,2,2,32,9,3,73,7,7,62,7,6,121,432,218,222,135,14,13,0.41,0.02,31.33,162.00,54.07,45.93,50,50,54,1446,8,18,44,78,11,11,73,20,7,1747,1099,16
FWD,31.48,28.50,90.53,Qtr 1,3622.00,127.1,7.7,342.30,12.011,0.095,760,994,523,776,15.7,0,0,404,165,21.0,27.4,14.4,21.4,11.2,4.6,0:13:48,0:08:00,0:02:29,0:02:44,0:01:05,0:00:21,48,28,8,9,3,1,78,37,42,18,7,12.4,13.2,18.3,21.6,22.9,6.0,3.8,3.9,3.5,3.1,1.7,4.1,4.1,9.6,9.9,1.1,1.2,1.0,1.6,1.4,82.9,33.1,49.3,50.8,76.9,40.8,9.8,10.0,8.2,10.3,26,3,2,19,13,9,1,1,30,21,27,14,5,3,0,4,3,1,0,0,1,372,594,1,0,0,5,4,60,1338,2076,89,8,8,0,0,1,36,57,2,0,0,0:00:02,0:00:01,0:00:20,0:09:56,0:17:27,0:00:31,0:00:05,0:00:04,0,0,1,34,61,1,0,0,336.83,1.29,3.29,0.89,131.2,17.32,4.14,4560,1.26,0:18:32,0:05:23,0:02:49,0:00:42,0:00:10,65,18,9,2,0,112,51,23,5,5.15,14.16,25.91,42.22,67.93,26,5,5,27,3,3,53,8,8,60,6,5,139,569,1,1,113,14,13,0.41,0.02,31.33,140.00,46.90,53.10,57,43,62,1205,9,36,33,72,14,14,82,9,9,1868,1345,25
FWD,31.48,24.98,79.36,Qtr 1,2934.00,117.4,7.7,331.56,13.271,0.113,548,802,709,642,7.9,97,79,190,43,18.7,27.3,24.2,21.9,6.5,1.5,0:11:50,0:06:33,0:03:30,0:02:24,0:00:33,0:00:06,47,26,14,9,2,0,86,46,40,11,5,9.4,16.0,16.6,18.7,8.8,4.5,4.6,3.6,3.0,1.2,1.5,3.2,4.1,6.4,7.2,1.0,1.0,1.0,1.0,1.0,43.8,51.7,58.8,36.2,14.4,18.0,15.0,13.0,6.0,2.0,30,13,12,19,12,5,1,4,36,16,22,10,1,1,5,1,0,0,79,40,104,234,271,112,53,97,162,60,313,792,783,392,107,386,5,2,10,26,26,13,3,13,0:01:33,0:00:42,0:02:09,0:06:34,0:08:47,0:02:17,0:00:56,0:01:54,6,2,8,26,35,9,3,7,329.32,2.24,0.00,0.00,236.5,15.35,3.67,4018,1.37,0:14:53,0:06:05,0:01:58,0:00:20,0:00:11,59,24,7,1,0,174,46,0,0,4.93,14.70,24.89,42.59,72.62,16,1,4,29,8,3,64,9,6,71,5,5,113,233,223,262,135,14,11,0.35,0.02,31.33,160.00,47.41,52.59,64,36,55,1424,7,21,40,76,5,19,73,20,8,1584,875,16
