Round ,Winner,Loser ,End of Game Margin,End of Q3 Margin,Half Time Margin,End of 1Q Margin,Game Type
1,Western Bulldogs,Fremantle,65,40,38,41,Dominant
1,West Coast,Brisbane,64,50,39,14,Dominant
1,Sydney,Collingwood,80,69,62,20,Dominant
1,Richmond,Carlton,9,-9,7,-3,Contested 4Q
1,Port Adelaide,St Kilda,33,-1,-6,-3,Contested 3Q
1,North Melbourne,Adelaide,10,-1,-18,-8,Contested 4Q
1,Melbourne,GWS,2,-21,-10,8,Contested 4Q
1,Gold Coast,Essendon,61,57,44,29,Dominant
1,Geelong,Hawthorn,30,-2,30,15,Contested 
2,Western Bulldogs,St Kilda,57,38,25,17,Dominant
2,Sydney,Carlton,60,45,38,8,Contested 1Q
2,North Melbourne,Brisbane,34,37,33,-4,Contested 1Q
2,Hawthorn,West Coast,46,27,21,26,Dominant
2,GWS,Geelong,13,24,15,2,Contested
2,Gold Coast,Fremantle,26,35,29,-1,Contested 1Q
2,Essendon,Melbourne,13,9,9,4,Contested 4Q
2,Collingwood,Richmond,1,-5,-5,-1,Contested 4Q
2,Adelaide,Port Adelaide,58,67,51,32,Dominant
3,West Coast,Fremantle,33,19,6,-8,Contested 2Q
3,Sydney,GWS,25,14,6,13,Contested 2Q
3,St Kilda,Collingwood,29,31,2,12,Contested 2Q
3,Port Adelaide,Essendon,61,61,41,36,Dominant
3,North Melbourne,Melbourne,5,18,-7,36,Contested
3,Hawthorn,Western Bulldogs,3,-19,6,14,Contested 4Q
3,Gold Coast,Carlton,54,26,14,11,Dominant
3,Geelong,Brisbane,69,39,38,27,Dominant
3,Adelaide,Richmond,36,47,25,13,Contested 1Q
4,Western Bulldogs,Carlton,36,43,43,18,Dominant
4,West Coast,Richmond,68,55,54,32,Dominant
4,North Melbourne,Fremantle,31,8,12,15,Contested 3Q
4,Melbourne,Collingwood,35,30,27,30,Dominant
4,Hawthorn,St Kilda,3,0,5,18,Contested 4Q
4,GWS,Port Adelaide,86,66,61,23,Dominant
4,Geelong,Essendon,30,8,2,1,Contested 3Q
4,Brisbane,Gold Coast,13,1,8,-2,Contested 4Q
4,Adelaide,Sydney,10,-1,2,-3,Contested 4Q
5,Western Bulldogs,Brisbane,53,43,34,11,Contested 1Q
5,Sydney,West Coast,39,21,9,-6,Contested 2Q
