Player Name,Period Name,Start Time,End Time,Duration,Field Time,Bench Time,Odometer,Meterage / min,Max Velocity,Vel Zone 1 Dist,Vel Zone 2 Dist,Vel Zone 3 Dist,Vel Zone 4 Dist,Vel Zone 5 Dist,Vel Zone 6 Dist,Vel Zone 3 Efforts,Vel Zone 4 Efforts,Vel Zone 5 Efforts,Vel Zone 6 Efforts,Player Load,Player Load (2D),Player Load (Slow),Tackle Zone 1 Count,Tackle Zone 2 Count,Tackle Zone 3 Count,Tackle Zone 4 Count,Tackle Zone 5 Count,Tackle Zone 6 Count,Tackle Zone 7 Count,Tackle Zone 8 Count,RHIE Total Bouts,Acc. Zone 1 Efforts,Acc. Zone 2 Efforts,Acc. Zone 3 Efforts,Acc. Zone 4 Efforts,Acc. Zone 5 Efforts,Acc. Zone 6 Efforts,Position
Player,Session,09:41:04 p.m.,11:20:09 p.m.,1:26:13,1:26:13,0:00:00,6074.00,70.4,26.7,2534,1147,1518,567,275,33,115,47,14,2,602.59,387,236,4,21,14,0,0,0,0,0,4,1,8,912,1625,2,0,Bk
Player,Session,09:41:03 p.m.,11:00:09 p.m.,1:26:14,1:06:13,0:20:00,5372.00,81.1,28.8,3015,613,892,376,353,123,69,31,24,8,504.95,302,233,1,10,14,0,0,0,0,0,5,1,5,667,1389,4,0,Bk
Player,Session,11:05:47 p.m.,11:20:09 p.m.,1:26:14,0:14:21,1:11:52,1655.00,115.2,28.6,559,154,460,361,99,22,33,22,5,1,156.81,100,47,2,6,4,0,0,0,0,0,1,0,1,206,313,2,0,Bk
Player,Session,11:02:12 p.m.,11:20:09 p.m.,1:26:14,0:17:56,1:08:17,1999.00,111.4,31.6,647,231,452,233,307,129,37,19,16,6,171.78,120,49,4,5,6,0,0,0,0,0,4,2,1,283,376,2,0,Bk
Player,Session,09:41:03 p.m.,11:20:09 p.m.,1:26:14,1:26:14,0:00:00,6860.00,79.5,30.8,4056,800,1239,483,202,80,100,42,20,3,631.41,407,303,4,13,13,0,0,0,0,0,4,1,6,1044,1833,4,0,Bk
Player,Session,09:41:03 p.m.,11:20:09 p.m.,1:26:14,1:26:14,0:00:00,7225.00,83.8,28.1,3472,1052,1759,557,336,49,133,46,22,3,621.27,375,232,4,17,8,0,0,0,0,0,4,4,5,963,1826,4,0,Bk
Player,Session,09:41:03 p.m.,11:09:40 p.m.,1:26:14,1:15:44,0:10:29,6449.00,85.1,27.3,2179,905,2392,758,191,24,134,47,10,1,689.03,423,225,8,32,8,0,0,0,0,0,1,2,3,822,1471,3,0,Bk
Player,Session,10:12:54 p.m.,11:20:09 p.m.,1:26:14,0:54:22,0:31:51,4874.00,89.6,27.3,1605,686,1382,723,439,39,101,50,22,3,463.73,289,127,5,18,5,0,0,0,0,0,3,2,5,668,1046,4,0,Bk
Player,Session,09:41:03 p.m.,10:11:33 p.m.,1:26:14,0:30:30,0:55:43,2482.00,81.4,26.9,962,489,698,190,103,40,46,14,8,3,267.78,161,89,4,11,6,0,0,0,0,0,3,0,2,344,576,4,1,Bk
Player,Session,09:41:03 p.m.,11:20:09 p.m.,1:26:14,1:26:14,0:00:00,7032.00,81.5,30.5,3232,800,1990,590,293,127,120,40,18,9,548.64,338,217,7,11,5,0,0,0,0,0,4,2,2,1094,1719,2,1,Bk
Player,Session,09:57:01 p.m.,11:20:09 p.m.,1:10:16,1:10:16,0:00:00,5885.00,83.8,25.7,2445,736,1515,715,455,19,127,47,24,1,562.98,345,230,13,52,10,0,0,0,0,0,1,0,3,761,1381,4,1,Fd
Player,Session,09:41:03 p.m.,10:53:22 p.m.,1:26:13,0:59:26,0:26:47,4493.00,75.6,26.2,1787,737,1287,451,215,16,86,32,14,2,497.77,286,193,13,25,9,0,0,0,0,0,0,0,0,579,1086,5,1,Fd
Player,Session,09:41:03 p.m.,11:20:09 p.m.,1:26:14,1:26:14,0:00:00,8343.00,96.7,26.9,4320,986,2135,634,255,13,138,43,16,1,684.54,425,305,45,55,19,0,0,0,0,0,0,2,3,1007,1795,6,0,Fd
Player,Session,09:41:03 p.m.,11:00:21 p.m.,1:26:13,1:06:25,0:19:48,5210.00,78.4,25.2,1796,784,1885,612,129,4,111,44,10,0,514.82,328,192,21,31,4,0,0,0,0,0,1,1,3,730,1100,4,0,Fd
Player,Session,09:41:03 p.m.,09:52:53 p.m.,0:11:49,0:11:49,0:00:00,1154.00,97.6,27.9,355,193,351,102,117,36,24,7,7,2,121.48,72,41,1,8,3,0,0,0,0,0,2,0,3,139,232,3,0,Fd
Player,Session,09:41:03 p.m.,11:20:09 p.m.,1:26:14,1:26:14,0:00:00,7025.00,81.5,28.6,2868,950,2014,817,340,36,143,51,22,1,670.52,427,279,15,42,12,0,0,0,0,0,3,1,5,984,1610,5,2,Fd
Player,Session,11:02:08 p.m.,11:20:09 p.m.,1:26:14,0:18:00,1:08:13,1656.00,91.9,23.8,506,204,775,145,26,0,40,10,1,0,133.10,85,50,16,9,0,0,0,0,0,0,0,0,1,195,348,1,0,Fd
Player,Session,11:01:07 p.m.,11:20:09 p.m.,1:26:14,0:19:01,1:07:12,1860.00,97.7,26.2,615,235,631,278,91,10,42,14,5,1,219.83,132,71,8,15,3,0,0,0,0,0,1,0,3,267,394,1,0,Fd
Player,Session,10:54:19 p.m.,10:59:58 p.m.,1:26:14,0:05:38,1:20:35,416.00,73.6,22.7,157,51,151,30,27,0,12,2,1,0,47.37,32,20,3,7,0,0,0,0,0,0,0,0,0,59,98,0,0,Fd
Player,Session,09:41:03 p.m.,11:20:09 p.m.,1:26:14,1:26:14,0:00:00,2159.00,25.0,18.0,1475,250,380,54,0,0,19,5,0,0,211.29,149,145,3,15,0,0,0,0,0,0,0,0,1,350,775,2,0,Fd
